english	dagbani
ninety-seven	pihiwɛi ni ayɔpɔin
ninety-eight	pihiwɛi ni anii
ninety-nine	pihiwɛi ni awɛi
pleasure	nyaɣsim
everyone	sokam
yesterday	sohala
intersection	sochira
crossroads	sochira
traveller	sochanda
today	zuŋɔ
amen	ami
trust	yɛda
voice	yee
bead	yɛɣu
beads	yɛri
evidence	shahira
bastard	sheje
something	sheli
nothing	pasheli
everything	shelikam
somewhere	shelipolo
belt	shelorigu
stingy	shim
transgression	zunubi
worm	zunzuli
necessary	kamaata
yes	een
bathroom	shinshaɣ
sea	teeku
decency	venyela
well	venyeliŋga
shame	vi
shade	mahim
war	tɔbu
betrayal	nyaan yibo
angel	malaika
god	naawuni
water	ko-om
trending	dinchana
persuade	balima
dog	baa
dogs	bahi
child	bia
children	bihi
goat	bua
goats	buhi
dagbani	dagbanli
come	kamina
banana	kɔdu
king	naa
kingship	nam
woman	paɣa
cloud	sagbani
groundnut	sima
patient	bara
hope	tahama
turkey	tolotolo
desert	tiŋgban' nɛli
sun	wuntaŋ
give	ti
tree	tia
trees	tihi
anxiety	suhuzohibo
hernia	pɔli
unity	nangbanyini
we	ti
whirlwind	pɔhimʒiɛpiliŋga
patience	suɣulɔ
expectation	tahma
lord	duuma
man	doo
go	chama
heaven	alizanda
land	tingbani
poverty	fara
serious	nimoo
very	pam
kill	ku
buy	kɔhi
tribe	balli
clan	zulya
where	ya
calling	boligu
promise	alikauli
pencil	alkalmi
pen	alkalmi
helicopter	alikopta
ablution	aliwalla
conversation	alizama
paradise	alizanda
friday	alizumba
genie	alizini
treachery	varisa
onion	alibasa
blessing	alibarika
grace	alibarika
usefulness	anfaani
picture	anfoni
trouble	alaka
cheap	alaha
calamity	alaamu
pineapple	alaafee
thursday	alaamiishi
drummer	akarima
watch	agogo
noon	agbaa
pigeon-pea	adua
luggage	adiiku
religion	adiini
balloon	abinfuura
disgust	abba
never	abada
disapproval	abaa
no	aayi
wrong	aayi
block	blooku
school	shikuru
what	bo
razorblade	bleedi
charcoal	sala
human	ninsala
crowd	salo
mash	sam
aluminium	samafuu
gold	salma
debt	samli
stranger	sana
strangers	saamba
apology	sandaani
creditor	sandana
debtor	sandira
scale	saniya
repayment	sanyoo
drought	sanzali
termite	yobli
deceive	yohim
deceiver	yohinda
dupe	yohim fa
vain	yoli
stand	zeya
intelligence	fahim
inheritance	fali
lightweighted	faluŋ
lecture	fasara
unless	fashee
carelessness	fawaɣli
procrastination	fawaɣli
pardon	gaafara
forgiveness	gaafara
knee	duni
world	dunia
doorstep	dundobia
gatekeeper	dundogula
enmity	duŋ
mosquito	duuŋa
mosquitos	duunsi
mercy	faako
extortion	fabu
uninverse	salaa
verly	achiika
tuesday	atalata
monday	atani
good	suŋ
happy	shupiɛli
vanity	yoli
call	boli
run	guui
runing	guubu
away	kpaŋa
friend	zo
friendship	zɔri
dancing	wabu
dance	waa
but	amaa
special	gahindili
thread	gali
foolishness	jirlim
short	jia
fool	jergu
praise	jema
cat	jeŋkuno
spindle	jeni
leopard	jeŋgbuni
quickly	yom
near	yɔma
lion	gbuɣinli
common	gbuɣi
keep	gbubi
accident	sarati
niddle	shariga
veil	sariga
judgement	sariga
prison	sarika
tobacco	sara
i am eating fufu	n dirila sakoro
i eat fufu	n di sakoro
i am eating banku	n dirila banku
i eat banku	n di banku
i am eating tz	n dirila sagam
i eat tz	n di sagam
i am eating rice	n dirila shinkaafa
i eat rice	n di shinkaafa
i am eating yam	n dirila nyuli
i eat yam	n di nyuli
you are eating fufu	a dirila sakoro
you eat fufu	a di sakoro
you are eating banku	a dirila banku
you eat banku	a di banku
you are eating tz	a dirila sagam
you eat tz	a di sagam
you are eating rice	a dirila shinkaafa
you eat rice	a di shinkaafa
you are eating yam	a dirila nyuli
you eat yam	a di nyuli
he is eating fufu	o dirila sakoro
he eat fufu	o di sakoro
he is eating banku	o dirila banku
he eat banku	o di banku
he is eating tz	o dirila sagam
he eat tz	o di sagam
he is eating rice	o dirila shinkaafa
he eat rice	o di shinkaafa
he is eating yam	o dirila nyuli
he eat yam	o di nyuli
she is eating fufu	o dirila sakoro
she eat fufu	o di sakoro
she is eating banku	o dirila banku
she eat banku	o di banku
she is eating tz	o dirila sagam
she eat tz	o di sagam
she is eating rice	o dirila shinkaafa
she eat rice	o di shinkaafa
she is eating yam	o dirila nyuli
she eat yam	o di nyuli
we are eating fufu	ti dirila sakoro
we eat fufu	ti di sakoro
we are eating banku	ti dirila banku
we eat banku	ti di banku
we are eating tz	ti dirila sagam
we eat tz	ti di sagam
we are eating rice	ti dirila shinkaafa
we eat rice	ti di shinkaafa
we are eating yam	ti dirila nyuli
we eat yam	ti di nyuli
they are eating fufu	be dirila sakoro
they eat fufu	be di sakoro
they are eating banku	be dirila banku
they eat banku	be di banku
they are eating tz	be dirila sagam
they eat tz	be di sagam
they are eating rice	be dirila shinkaafa
they eat rice	be di shinkaafa
they are eating yam	be dirila nyuli
they eat yam	be di nyuli
i have one goat	n mali bua yini
i have one child	n mali bia yini
i have one bag	n mali bagi yini
i have one car	n mali loori yini
i have two goats	n mali bua ayi
i have two childs	n mali bia ayi
i have two bags	n mali bagi ayi
i have two cars	n mali loori ayi
i have three goats	n mali bua ata
i have three childs	n mali bia ata
i have three bags	n mali bagi ata
i have three cars	n mali loori ata
i have ten goats	n mali bua pia
i have ten childs	n mali bia pia
i have ten bags	n mali bagi pia
i have ten cars	n mali loori pia
you have one goat	a mali bua yini
you have one child	a mali bia yini
you have one bag	a mali bagi yini
you have one car	a mali loori yini
you have two goats	a mali bua ayi
you have two childs	a mali bia ayi
you have two bags	a mali bagi ayi
you have two cars	a mali loori ayi
you have three goats	a mali bua ata
you have three childs	a mali bia ata
you have three bags	a mali bagi ata
you have three cars	a mali loori ata
you have ten goats	a mali bua pia
you have ten childs	a mali bia pia
you have ten bags	a mali bagi pia
you have ten cars	a mali loori pia
he has one goat	o mali bua yini
he has one child	o mali bia yini
he has one bag	o mali bagi yini
he has one car	o mali loori yini
he has two goats	o mali bua ayi
he has two childs	o mali bia ayi
he has two bags	o mali bagi ayi
he has two cars	o mali loori ayi
he has three goats	o mali bua ata
he has three childs	o mali bia ata
he has three bags	o mali bagi ata
he has three cars	o mali loori ata
he has ten goats	o mali bua pia
he has ten childs	o mali bia pia
he has ten bags	o mali bagi pia
he has ten cars	o mali loori pia
she has one goat	o mali bua yini
she has one child	o mali bia yini
she has one bag	o mali bagi yini
she has one car	o mali loori yini
she has two goats	o mali bua ayi
she has two childs	o mali bia ayi
she has two bags	o mali bagi ayi
she has two cars	o mali loori ayi
she has three goats	o mali bua ata
she has three childs	o mali bia ata
she has three bags	o mali bagi ata
she has three cars	o mali loori ata
she has ten goats	o mali bua pia
she has ten childs	o mali bia pia
she has ten bags	o mali bagi pia
she has ten cars	o mali loori pia
we have one goat	ti mali bua yini
we have one child	ti mali bia yini
we have one bag	ti mali bagi yini
we have one car	ti mali loori yini
we have two goats	ti mali bua ayi
we have two childs	ti mali bia ayi
we have two bags	ti mali bagi ayi
we have two cars	ti mali loori ayi
we have three goats	ti mali bua ata
we have three childs	ti mali bia ata
we have three bags	ti mali bagi ata
we have three cars	ti mali loori ata
we have ten goats	ti mali bua pia
we have ten childs	ti mali bia pia
we have ten bags	ti mali bagi pia
we have ten cars	ti mali loori pia
they have one goat	be mali bua yini
they have one child	be mali bia yini
they have one bag	be mali bagi yini
they have one car	be mali loori yini
they have two goats	be mali bua ayi
they have two childs	be mali bia ayi
they have two bags	be mali bagi ayi
they have two cars	be mali loori ayi
they have three goats	be mali bua ata
they have three childs	be mali bia ata
they have three bags	be mali bagi ata
they have three cars	be mali loori ata
they have ten goats	be mali bua pia
they have ten childs	be mali bia pia
they have ten bags	be mali bagi pia
they have ten cars	be mali loori pia
Red	Zeea
Blue	Bluu
Green	Bankom
Yellow	Dozim
Black	Sabinli
White	Pielli
The hen is a red one	Noo maa nyela no zeea
The shirt is black.	Liiga maa sabigimi.
The car is blue.	Loorima nyela loori bluuu'.
It is yellowish.	Di mohimi ka dozim.
The pencil is red.	Alkalmi maa nyela zag zeea.
The pencil is red.	Pensile maa nyela zag zeea.
His sandals is red.	O nanda maa nyela zag' dozim.
Big	Titali
small	Bila
one hundred	kɔbiga
good morning	dasiba
how are you?	ka di be wula?
thank you	m paɣya
i love you	n yura
do something necessary	niŋ mi din tu kamaata
i'm sorry	n tum sarigi
what is your name?	a yuli nboni bo?
nice to meet you	enchanté de vous rencontrer
where is the bathroom?	a shinshaɣ baa?
i don't understand	m be gbai
can you help me?	ani tio sɔŋ maa?
help me	sɔŋ ma
what time is it?	wakati deni m bɔŋɔ?
i would like	n niyu
i would have like	n di yuya
let's go	tichama
how much does this cost?	ala n nyɛli?
see you later	diyi toibela
my friend	nzo
my love	n yura
we are united	ti mali nangbanyini
we can	tintoi
my lord	n duuma
our lord	ti duuma
i am very serious	n nin moya pam
no one knows	so bi mi
how much	ala
palm nuts	abe
palm tree	abe tia
that will never happen	lala ku niŋ, hali abada
favourite child	biyurli
beloved child	biyurgu
class room	karin zɔŋ
bride price	asadaachi
human being	salnima
what you do is in vain	a niŋ simŋɔ be yoli
we are coming	ti kan-na
we have gone	ti chaŋya
unless you come	fashee a kana
knee cap	dumbia
people of the world	dunianima
call him	boli mo
call her	boli mo
call them	bolim ba
call me	bolim ma
he run away	o guui yi kpaŋa
she was dancing	o daa warimi
she was still dancing	o daa na warimi
but i was there	amaa n daa bɛni
praise be to god	naawuni su jema
feral cat	jeŋkunbirugu
very near	yɔmayɔma
she has two children	o mali bihi ayi
we have ten bags	ti mali la bagi pia
i need a doctor.	N bori la dɔɣite.
read the book for me	Karimmi buku maa ti maa
read the book fast	Karimmi buku maa yomyom
read the book quickly	Karimmi buku maa yomyom
run and come and see him	Guuimina nti nya o'
run quickly	Zomi yomyom
run and call the teacher	Guuimi ti boli karimba maa
i had not done the work.	N daa bi tum tumaa maa
you had not yet done the work.	A daa na bi tum tumaa maa
he had not yet done the work.	O daa na bi tum tumaa maa
we had not yet done the work.	Ti daa na bi tum tumaa maa
you have not yet done the work.	Yi daa na bi tum tumaa maa
they had not yet done the work.	Be daa na bi tum tumaa maa
child, respect your father and mother	Bia timi a ba naa ama jilma.
that is what god wants.	naawuni ni bori sheli m-bala
love your father and mother.	yumi a ba naa ama.
because they are your parents.	dama be nyela a laamba.
poverty is now rampant.	fara deei zaa.
children are crying out of poverty.	bihi kuhirila fara.
elders are crying out of poverty.	ninkura kuhirila fara.
those working are crying.	ban tumdi kuhirila fara.
those who don't work are even waste off.	ban bi tumdi kuhirila fara.
riches is the friend of poverty.	ligiri mi zo n-nye fara.
if money doesn't go, poverty will surely not go.	ligiri yi bi chag fara ku chag.
therefore let's spend money wisely.	din zugu, bagmi ligiri dibu.
eat it all.	Dimi di zaa
eat all the tz.	Dimi sagam maa zaa
i have gone.	N chagya.
you have gone.	A chagya.
she has gone.	O chagya.
he has gone.	O chagya
it has gone	Di chagya.
we have gone.	Yi chagya.
they have gone.	Be chagya
we have learned.	Ti bohimya
the have learned.	Be bohimya.
isabella went to tamale in the morning.	Isabella di chag Tamale asiba maa.
isabella didn't go to tamale this morning.	Isabella di bi chag Tamale asiba maa.
he ask of my name.	O di bohi nyuli.
we studied and became tired.	Ti bohammi ka di wum ti.
he went today.	O chagya zugo
it has lost.	Di barigiya
it lost this morning.	Di barigiya asiba la.
farouk has kept long.	Farouk yuuya.
they kept long in this afternoon.	Be yuuya pam wuntag maa ni.
the woman has entered.	Paga maa kpeya.
i have now finished.	N naaiya pumpogo
she has asked.	O bohiya.
he has asked.	O bohiya.
farouk has written.	Farouk di sabiya.
am eating fufu.	N dirila sakoro.
you are eating fufu.	A dirila sakoro
she is eating fufu.	O dirila sakoro.
he is eating fufu.	O dirila sakoro.
we are eating banku.	Ti dirila Banku.
you are eating banku	Yi dirila Banku
they are eating tz.	Be dirila sagam.
No matter how big a hut in the farm becomes, it will not be as big as a granary.	Puu suɣuli yi ŋmɛlim ka bɔ, di ku ŋmani kambɔŋa.
Lies produce flowers, but it is the truth that gets the fruits.	Ʒiri yirigi pum, ka yɛlimaŋli deei wali.
If heaven's path is grown over with grass, it means that there are no more good people around.	Alizanda soli bili mɔri, wunti'zɔriba n-kani.
What has created the ordinary garden egg has also created the bitter one	Din nam kamli, dina n-nam kamtoo.
An ungrateful man killed a hare and forgot about the elephant hunter.	Gutulu ku sooŋa, n-tam wɔb'kura yɛla.
The fool has no sense to unite a family, but he has sense to destroy a family.	Jɛrigu ka yɛm shɛri dɔɣim, amaa o lee mali yɛm ŋmari dɔɣim
No matter how sharp a split guinea stalk is, it can't be as sharp as a razor.	Kaɣ'shia mali waayo ku ŋmani piliŋ.
The stone anvil doesn't care about the scorpion's spear.	Sataŋ kuɣili baɣa ni nɔŋ'kpani.
There will be a day when the cat will eat groundnuts and have some leftover to sell for the benefit of the mouse.	Dahinshɛli beni ka jɛŋkuno ni ŋubi sima ka guui kɔhi n-ti jɛngbariga.
Even if you are an expert in understanding everything, you can't know what is inside a closed hand	Baŋdi waayo ku baŋ nu' kpibili.
The vulture follows the lion because of hope of getting something.	Tahima zuɣu ka juɣu doli gbuɣinli.
A white ant hill that is built on a stone spoils an axe.	Tambiɛɣu din tabili kuɣili ni saɣim lɛri.
The sound of several mortars pounding confused Alidu.	Toya kum gari Alidu
If the person running after you does not stop, you also don't stop	Ŋun karit' a yi bɛ zani, a gba bɛ zanda.
Even if the toad doesn't know anything at all, at least it knows the grave of the frog	Pololi yi ʒi shɛli kam amaa o mi lɔŋ gballi.
The is the anus of a horse.	Wahu nyirivɔɣu m-bala.
The gourd has a rope tied round it, you have to know how to hang it on your shoulder.	Gaɣili deei mia, baŋmi nyaɣibu.
There is pito in the room, there is also trouble inside	Dam is duu, yɛlli mii beni.
What can a tick remove from the bull's testicle?	Baŋkaŋ yihiri bɔ naɣilaa lan'ni?
A bachelor hunter killed a rabbit, but he won't get its broth.	Dakoli ku sooŋa ku dooi bim.
A woman with slim buttocks has her beads around her waist and nobody can take them from her.	Nyir'kɔɣu lana mali o limli so bɛ deeira.
The frog always found in a mud doesn't worry about the rain	Ko'kura lɔŋ baɣa ni saa.
Doing is better than the fast speaking lips	Niŋsim n-gari nangbanpibili.
Where there is no spear grass , that is where piles from one's anus come out proudly.	Piriŋkpana ni ka shɛli, ni ka sapibo surigiri bara
The roof of a liar is removed, not set ablaze.	ʒiri lana duu piligirimi, di bɛ nyɔra.
The person with an oblong head is not an unlucky/bad person.	Zuɣu mɔɣulana pala zuɣu biɛɣulana
Know-and-be-quiet' is the friend of 'know-and-not-say-anything'	Mi-ka-shini zo nyɛla baŋ-ku-yɛli-shɛli.
May God spare the blessed needle so that beautiful threads can go into it and praise God.	Naawuni chɛl' alibarika shɛriga ka gal suma kpɛ m-paɣi Wuni.
A good person is not known by looks you recognise him only through his/her deeds.	Naawuni dabili ku baŋ nini naɣila o tuma ni.
The vulture takes a bone from a dog, and later returns it to where the dog lies.	Juɣu kpuɣi baa kɔbili, n-ŋmaligi sɔŋ baa dooshee.
The rain beats the scorpion, but it will not wash away its bitterness.	Saa bu nɔŋa ku suui tom.
The tiny ant says that it will not eat cricket, the cricket too will not trust it.	Salinsaa yɛliya ni o ku ŋubi paaŋa, paaŋa mii ku niŋ o naani.
If your problems are solved, it is because your false accuser/enemy is not there.	A yɛla yi mali, a chomda n-kani.
A donkey does not bray in it's neighbour's territory.	Buŋ bɛ kumdi o kpee tiŋ' ni
if a sarcastic person dies, it is the careless person who buries him	chiriwaandana yi kpi, nakpaɣindana n-sɔɣir'o
if a sarcastic person dies, it is the i-don't-care person who buries him	chiriwaandana yi kpi, nakpaɣindana n-sɔɣir'o
if a cheeky person dies, it is the careless person who buries him	chiriwaandana yi kpi, nakpaɣindana n-sɔɣir'o
if a cheeky person dies, it is the i-don't-care person who buries him	chiriwaandana yi kpi, nakpaɣindana n-sɔɣir'o
if a diabolic person dies, it is the careless person who buries him	chiriwaandana yi kpi, nakpaɣindana n-sɔɣir'o
if a diabolic person dies, it is the i-don't-care person who buries him	chiriwaandana yi kpi, nakpaɣindana n-sɔɣir'o
"if your magical power taboos ""who is that?"", you don't enter a dark place"	"a tim yi chihiri ""ŋuni n-lee m-bala"", a bɛ zaandi zimsim ni"
"if your magical power taboos ""who is that?"", you don't enter a dark spot"	"a tim yi chihiri ""ŋuni n-lee m-bala"", a bɛ zaandi zimsim ni"
"if your charm taboos ""who is that?"", you don't enter a dark place"	"a tim yi chihiri ""ŋuni n-lee m-bala"", a bɛ zaandi zimsim ni"
"if your charm taboos ""who is that?"", you don't enter a dark spot"	"a tim yi chihiri ""ŋuni n-lee m-bala"", a bɛ zaandi zimsim ni"
"if your talisman taboos ""who is that?"", you don't enter a dark place"	"a tim yi chihiri ""ŋuni n-lee m-bala"", a bɛ zaandi zimsim ni"
"if your talisman taboos ""who is that?"", you don't enter a dark spot"	"a tim yi chihiri ""ŋuni n-lee m-bala"", a bɛ zaandi zimsim ni"
"if your magical power taboos ""who is that?"", you don't enter a dark place"	"a tim yi chihiri ""ŋuni n-lee m-bala"", a bɛ kpɛri zimsim ni"
"if your magical power taboos ""who is that?"", you don't enter a dark spot"	"a tim yi chihiri ""ŋuni n-lee m-bala"", a bɛ kpɛri zimsim ni"
"if your charm taboos ""who is that?"", you don't enter a dark place"	"a tim yi chihiri ""ŋuni n-lee m-bala"", a bɛ kpɛri zimsim ni"
"if your charm taboos ""who is that?"", you don't enter a dark spot"	"a tim yi chihiri ""ŋuni n-lee m-bala"", a bɛ kpɛri zimsim ni"
"if your talisman taboos ""who is that?"", you don't enter a dark place"	"a tim yi chihiri ""ŋuni n-lee m-bala"", a bɛ kpɛri zimsim ni"
"if your talisman taboos ""who is that?"", you don't enter a dark spot"	"a tim yi chihiri ""ŋuni n-lee m-bala"", a bɛ kpɛri zimsim ni"
The skin of the monitor lizard that roams on fallow land will be used to wrap the shaft of arrows	Wua ŋun gɔri kukɔɣu ni gbaŋ ni vili mola.
If an arrow is stuck in the body of an antelope, it is better than being left in the hand of a hunter.	Piɛm yi sa valiga ni, di so ni di be tɔha nuu ni.
A witch's small cooking pot, be careful when putting your hand into it to clear the last bit of soup with your finger for licking.	Pakurugu duɣ'bila, viɛhima ka mira.
The prophet's eye powder is applied to the eyes of those who don't have parents.	Anabi chilitɔŋ, bɛn ka laamba m-banda.
Those walking on the right path, and those walking on the wrong path, they all have Yaakuba's house as their destination.	Bɛnim' n-doli soli, bɛnim' n-dari mɔɣu, bɛ zaa kunila Yaakuba yili.
"They are coming"" is better than ""He is coming."	"Bɛna n-kanilana"" sola ""ŋuna n-kanilana."
A loyal citizen does not abandon his fatherland.	Somuaa bi zori ka chari o ba tinga.
The one who has been nurtured by God to progress, a human cannot cause to retrogress.	Naawuni ni zoogi so, sal' ningsim ku tooi filimo.
if your enemies are many in your town, you don't climb a tall tree	a di mali o yi zooi tiŋ'ni, a bɛ duri ti wɔɣinli
a single horse race is deceptive	wɔri yino tii bɛ baŋda,
a single horse race is unknown	wɔri yino tii bɛ baŋda,
I'm sorry	n tum sarigi
I don't understand	m be gbai
I would like	n niyu
I would have like	n di yuya
stand	Zeya
I need a doctor.	N bori la dɔɣite.
Read the book for me	Karimmi buku maa ti maa
I had not done the work.	N daa bi tum tumaa maa
You have not yet done the work.	Yi daa na bi tum tumaa maa
that is what God wants.	naawuni ni bori sheli m-bala
Because they are your parents.	dama be nyela a laamba.
Poverty is now rampant.	fara deei zaa.
Children are crying out of poverty.	bihi kuhirila fara.
Elders are crying out of poverty.	ninkura kuhirila fara.
Those working are crying.	ban tumdi kuhirila fara.
Those who don't work are even waste off.	ban bi tumdi kuhirila fara.
Riches is the friend of poverty.	ligiri mi zo n-nye fara.
If money doesn't go, poverty will surely not go.	ligiri yi bi chag fara ku chag.
Therefore let's spend money wisely.	din zugu, bagmi ligiri dibu.
Eat it all.	Dimi di zaa
Eat all the TZ.	Dimi sagam maa zaa
I have gone.	N chagya.
You have gone.	A chagya.
He has gone.	O chagya
We have gone.	Yi chagya.
Isabella went to Tamale in the morning.	Isabella di chag Tamale asiba maa.
Isabella didn't go to Tamale this morning.	Isabella di bi chag Tamale asiba maa.
He ask of my name.	O di bohi nyuli.
We studied and became tired.	Ti bohammi ka di wum ti.
He has gone.	O chagya.
He went today.	O chagya zugo
It has lost.	Di barigiya
It lost this morning.	Di barigiya asiba la.
Farouk has kept long.	Farouk yuuya.
They kept long in this afternoon.	Be yuuya pam wuntag maa ni.
The woman has entered.	Paga maa kpeya.
I have now finished.	N naaiya pumpogo
He has asked.	O bohiya.
Farouk has written.	Farouk di sabiya.
Am eating Fufu.	N dirila sakoro.
You are eating Fufu.	A dirila sakoro
He is eating fufu.	O dirila sakoro.
We are eating Banku.	Ti dirila Banku.
You are eating Banku.	Yi dirila Banku
They are eating TZ.	Be dirila sagam.
house	yili
houses	yiya
room	duu
rooms	duri
door	dundoli
doors	dundoya
roof	mopil'li
roofs	mopila
wall	gooni
walls	goma
kitchen	duduhigu
kitchens	duduhusi
bed	garo
beds	gariti
mat	sɔŋ
mats	sɔna
pillow	dufiɛli
pillows	dufiɛya
boxes	adakanima
spoons	diriti
ladle	chɛriga
ladles	chɛriti
bowl	ŋmani
bowls	ŋmana
bowl	kuriga
bowls	kuriganima
knife	sua
knives	suhi
pot	duɣu
pots	duɣuri
fire	buɣim
fires	buɣima
water	kom
waters	koma
salt	yalim
pepper	naanzua
oil	kpam
oils	kpama
onion	alibarisa
onions	alibarisanima
tomato	kamantooŋa
tomatoes	kamantoonsi
okro	maani
okros	mana
fish	zahim
soap	chibo
soaps	chibiti
towel	bodua
towels	boduanima
bucket	bɔɣati
buckets	buɣatinima
comb	zabisahirigu
combs	zabisahirisi
sponge	sɔɣiso
sponges	sɔɣisonima
fowl	noo
cow	nahu
aardvark	tiŋbuŋ
baboon	kparili
bandicoot	dayuɣu
bat	zɔŋa
buffalo	yonahu
bush buck	sankpaluŋ
fox	ŋɔɣu
hyena	kunduŋ
gazelle	mulfu
grass cutter	ŋɔŋli
squirrel	laringa
hartebeest	sibiga
hedgehog	yuɣimpɛni
hippopotamus	ŋamli
ibex	yɔbua
jackal	yɔbaa
red buck	vulugu
mole	nantariga
rhinoceros	kantamparim
zebra	kɔɣu
warthog	dee
tz	sagam
eat tz	dimi sagam
eat all the tz	dimi sagam maa zaa
fufu	sakoro
honey	shiri
eat	dima
drink	nyuma
drink all	nyumi di zaa
drinking soup	piebbu
red	ziehi
blue	bluuu'
green	bankoma
yellow	dozima
black	sablar
white	pielar
tall	waga
fat	bara
beautiful	viela
ugly	biegau
hello	n doo
hello	n kpɛma
please	dimi suɣulo
thank you	m puhiya ka paɣi
you're welcome	naawuni deemi suhugu
father	m'ba
mother	m'ma
brother	tizodoo
sister	tizopaɣa
son	dapala
daughter	bipuhinga
family	daŋa
english	dagbani
fine, thank you	m mali alaafei, m paɣiya
my name is _____	n yuli booni _____
excuse me	gaafara
i'm sorry	n tumi taali
goodbye	naawuni ni sɔŋ
goodbye	bai bai
i can't speak dagbani	n ku tooi yɛli dagbanli
do you speak english?	n ni tooi yɛli silimiinsilii?
is there someone here who speaks english?	so be kpe ka yari silimiinsilii?
help!	sɔŋmi ya ma!
look out!	lihi ma!
where is the toilet?	ya polo ka baanjira be?
leave me alone	zaŋ ma bahi
don't touch me!	di shihi ma!
i'll call the police	n yɛn bol'la prinsi
police!	polinga!
stop! thief!	zani ma! tayiɣa!
i need your help	m bori la a sɔŋsim
it's an emergency	nimmohi m bala
i'm lost	n tumla n soli
i lost my bag	n labi la m baagi
i lost my wallet	n labi la m poochibila
i'm sick	m bɛri mi
i've been injured	n nyɛla daŋa
can i use your phone?	n ni tooi zaŋ a phone ŋɔ n niŋ m bini ŋɔ?
i will learn dagbani	nni boham dagbani
he/she will learn english	o ni boham silimiinsili
they will go to america	be ni chag amerika
isabella will come tomorrow	isabella san kana
we will come early	ti dag yig' labbu na
you will come home early	yini kana yig yomyom
come child!	kamna bia!
come here!	kamna kpe!
look, stop it!	nyema, chela!
farouk, it's ok, stop that!	chela farouk, cheli lala!
stop the noise, leave me!	cheli vuri, cheli ma!
stop talking!	cheli yelgu / yeltoga!
go and be drinking your alcohol!	cham', nyu ma adam
go and do your work	cham' tumm' atuma
sit down child!	ziinima bia
sit down and eat tz	ziinim' ndi sagam
sit down and stop making noise	zinim' ka chea viri!
sit down and sing a song	ziinim' yili yila
grandfather	yɛb'doo
grandmother	yɛb'paɣa
parent	laamba
stepfather	mba
stepmother	mma yintah
cousins	dachiya
inlaws	deenima
ancestor	siɣli lana
descendant	zuliya
heir	zuu
heiress	pakpang
