english	dagbani
eat it all.	Dimi di zaa
eat all the tz.	Dimi sagam maa zaa
i have gone.	N chagya.
you have gone.	A chagya.
she has gone.	O chagya.
he has gone.	O chagya
it has gone	Di chagya.
we have gone.	Yi chagya.
they have gone.	Be chagya
we have learned.	Ti bohimya
the have learned.	Be bohimya.
isabella went to tamale in the morning.	Isabella di chag Tamale asiba maa.
isabella didn’t go to tamale this morning.	Isabella di bi chag Tamale asiba maa.
he ask of my name.	O di bohi nyuli.
we studied and became tired.	Ti bohammi ka di wum ti.
he went today.	O chagya zugo
it has lost.	Di barigiya
it lost this morning.	Di barigiya asiba la.
farouk has kept long.	Farouk yuuya.
they kept long in this afternoon.	Be yuuya pam wuntag maa ni.
the woman has entered.	Paga maa kpeya.
i have now finished.	N naaiya pumpogo
she has asked.	O bohiya.
he has asked.	O bohiya.
farouk has written.	Farouk di sabiya.
am eating fufu.	N dirila sakoro.
you are eating fufu.	A dirila sakoro
she is eating fufu.	O dirila sakoro.
he is eating fufu.	O dirila sakoro.
we are eating banku.	Ti dirila Banku.
you are eating banku	Yi dirila Banku
they are eating tz.	Be dirila sagam.
No matter how big a hut in the farm becomes, it will not be as big as a granary.	Puu suɣuli yi ŋmɛlim ka bɔ, di ku ŋmani kambɔŋa.
Lies produce flowers, but it is the truth that gets the fruits.	Ʒiri yirigi pum, ka yɛlimaŋli deei wali.  
If heaven's path is grown over with grass, it means that there are no more good people around.	Alizanda soli bili mɔri, wunti'zɔriba  n-kani.
What has created the ordinary garden egg has also created the bitter one 	Din nam kamli, dina n-nam kamtoo.
An ungrateful man killed a hare and forgot about the elephant hunter. 	Gutulu ku sooŋa, n-tam wɔb'kura yɛla.
The fool has no sense to unite a family, but he has sense to destroy a family. 	Jɛrigu ka yɛm shɛri dɔɣim, amaa o lee mali yɛm ŋmari dɔɣim
No matter how sharp a split guinea stalk is, it can't be as sharp as a razor. 	Kaɣ'shia mali waayo ku ŋmani piliŋ.
The stone anvil doesn't care about the scorpion's spear. 	Sataŋ kuɣili baɣa ni nɔŋ'kpani.
There will be a day when the cat will eat groundnuts and have some leftover to sell for the benefit of the mouse. 	Dahinshɛli beni ka jɛŋkuno ni ŋubi sima ka guui kɔhi n-ti jɛngbariga.
Even if you are an expert in understanding everything, you can't know what is inside a closed hand 	Baŋdi waayo ku baŋ nu' kpibili.
The vulture follows the lion because of hope of getting something. 	Tahima zuɣu ka juɣu doli gbuɣinli.
A white ant hill that is built on a stone spoils an axe.  	Tambiɛɣu din tabili kuɣili ni saɣim lɛri.
The sound of several mortars pounding confused Alidu.  	Toya kum gari Alidu
If the person running after you does not stop, you also don't stop  	Ŋun  karit' a yi bɛ zani, a gba bɛ zanda.
Even if the toad doesn't know anything at all, at least it knows the grave of the frog 	Pololi yi ʒi shɛli kam amaa o mi lɔŋ gballi.
The is the anus of a horse. 	Wahu nyirivɔɣu m-bala.
The gourd has a rope tied round it, you have to know how to hang it on your shoulder. 	Gaɣili deei mia, baŋmi nyaɣibu.
There is pito in the room, there is also trouble inside 	Dam is duu, yɛlli mii beni.
What can a tick remove from the bull's testicle? 	Baŋkaŋ yihiri bɔ naɣilaa lan'ni?
A bachelor hunter killed a rabbit, but he won't get its broth.	Dakoli ku sooŋa ku dooi bim.
A woman with slim buttocks has her beads around her waist and nobody can take them from her. 	Nyir'kɔɣu lana mali o limli so bɛ deeira.
The frog always found in a mud doesn't worry about the rain 	Ko'kura lɔŋ baɣa ni saa.
Doing is better than the fast speaking lips  	Niŋsim n-gari nangbanpibili.
Where there is no spear grass , that is where piles from one's anus come out proudly. 	Piriŋkpana ni ka shɛli, ni ka sapibo surigiri bara
The roof of a liar is removed, not set ablaze.  	ʒiri lana duu piligirimi, di bɛ nyɔra.
The person with an oblong head is not an unlucky/bad person.	Zuɣu mɔɣulana pala zuɣu biɛɣulana
Know-and-be-quiet' is the friend of 'know-and-not-say-anything' 	Mi-ka-shini zo nyɛla baŋ-ku-yɛli-shɛli.
May God spare the blessed needle so that beautiful threads can go into it and praise God. 	Naawuni chɛl' alibarika shɛriga ka gal suma kpɛ m-paɣi Wuni.
A good person is not known by looks; you recognise him only through his/her deeds. 	Naawuni dabili ku baŋ nini naɣila o tuma ni.
The vulture takes a bone from a dog, and later returns it to where the dog lies. 	Juɣu kpuɣi baa kɔbili, n-ŋmaligi sɔŋ baa dooshee.
The rain beats the scorpion, but it will not wash away its bitterness. 	Saa bu nɔŋa ku suui tom.
The tiny ant says that it will not eat cricket, the cricket too will not trust it. 	 Salinsaa yɛliya ni o ku ŋubi paaŋa, paaŋa mii ku niŋ o naani.
If your problems are solved, it is because your false accuser/enemy is not there. 	A yɛla yi mali, a chomda n-kani.
A donkey does not bray in it's neighbour's territory. 	Buŋ bɛ kumdi o kpee tiŋ' ni
if a sarcastic person dies, it is the careless person who buries him	chiriwaandana yi kpi, nakpaɣindana n-sɔɣir'o
if a sarcastic person dies, it is the i-don't-care person who buries him	chiriwaandana yi kpi, nakpaɣindana n-sɔɣir'o
if a cheeky person dies, it is the careless person who buries him	chiriwaandana yi kpi, nakpaɣindana n-sɔɣir'o
if a cheeky person dies, it is the i-don't-care person who buries him	chiriwaandana yi kpi, nakpaɣindana n-sɔɣir'o
if a diabolic person dies, it is the careless person who buries him	chiriwaandana yi kpi, nakpaɣindana n-sɔɣir'o
if a diabolic person dies, it is the i-don't-care person who buries him	chiriwaandana yi kpi, nakpaɣindana n-sɔɣir'o
"if your magical power taboos ""who is that?"", you don't enter a dark place"	"a tim yi chihiri ""ŋuni n-lee m-bala"", a bɛ zaandi zimsim ni"
"if your magical power taboos ""who is that?"", you don't enter a dark spot"	"a tim yi chihiri ""ŋuni n-lee m-bala"", a bɛ zaandi zimsim ni"
"if your charm taboos ""who is that?"", you don't enter a dark place"	"a tim yi chihiri ""ŋuni n-lee m-bala"", a bɛ zaandi zimsim ni"
"if your charm taboos ""who is that?"", you don't enter a dark spot"	"a tim yi chihiri ""ŋuni n-lee m-bala"", a bɛ zaandi zimsim ni"
"if your talisman taboos ""who is that?"", you don't enter a dark place"	"a tim yi chihiri ""ŋuni n-lee m-bala"", a bɛ zaandi zimsim ni"
"if your talisman taboos ""who is that?"", you don't enter a dark spot"	"a tim yi chihiri ""ŋuni n-lee m-bala"", a bɛ zaandi zimsim ni"
"if your magical power taboos ""who is that?"", you don't enter a dark place"	"a tim yi chihiri ""ŋuni n-lee m-bala"", a bɛ kpɛri zimsim ni"
"if your magical power taboos ""who is that?"", you don't enter a dark spot"	"a tim yi chihiri ""ŋuni n-lee m-bala"", a bɛ kpɛri zimsim ni"
"if your charm taboos ""who is that?"", you don't enter a dark place"	"a tim yi chihiri ""ŋuni n-lee m-bala"", a bɛ kpɛri zimsim ni"
"if your charm taboos ""who is that?"", you don't enter a dark spot"	"a tim yi chihiri ""ŋuni n-lee m-bala"", a bɛ kpɛri zimsim ni"
"if your talisman taboos ""who is that?"", you don't enter a dark place"	"a tim yi chihiri ""ŋuni n-lee m-bala"", a bɛ kpɛri zimsim ni"
"if your talisman taboos ""who is that?"", you don't enter a dark spot"	"a tim yi chihiri ""ŋuni n-lee m-bala"", a bɛ kpɛri zimsim ni"
The skin of the monitor lizard that roams on fallow land will be used to wrap the shaft of arrows	Wua ŋun gɔri kukɔɣu ni gbaŋ ni vili mola.
If an arrow is stuck in the body of an antelope, it is better than being left in the hand of a hunter.	Piɛm yi sa valiga ni, di so ni di be tɔha nuu ni.
A witch's small cooking pot, be careful when putting your hand into it to clear the last bit of soup with your finger for licking.	Pakurugu duɣ'bila, viɛhima ka mira.
The prophet's eye powder is applied to the eyes of those who don't have parents.	Anabi chilitɔŋ, bɛn ka laamba m-banda.
Those walking on the right path, and those walking on the wrong path, they all have Yaakuba's house as their destination.	Bɛnim' n-doli soli, bɛnim' n-dari mɔɣu, bɛ zaa kunila Yaakuba yili.
"They are coming"" is better than ""He is coming."	"Bɛna n-kanilana"" sola ""ŋuna n-kanilana."
A loyal citizen does not abandon his fatherland.	Somuaa bi zori ka chari o ba tinga.
The one who has been nurtured by God to progress, a human cannot cause to retrogress.	Naawuni ni zoogi so, sal' ningsim ku tooi filimo.
if your enemies are many in your town, you don't climb a tall tree	a di mali o yi zooi tiŋ'ni, a bɛ duri ti wɔɣinli
a single horse race is deceptive	wɔri yino tii bɛ baŋda,
a single horse race is unknown	wɔri yino tii bɛ baŋda,
