english	dagbani
they has gone gone.	Somuaa bi zori ka chari o ba tinga.
naawuni ninety-zoogi, so, sal'hinksim ku tooi filmo.	Naawuni ni zoogi so, sal' ningsim ku tooi filimo.
we have not yet done there.	a di mali o yi zooi tiŋ'ni, a bɛ duri ti wɔɣinli
ninety-two	wɔri yino tii bɛ baŋda,
Zea	Zeea
Blue	Bluu
Bancom	Bankom
Dozim	Dozim
Seventy	Sabinli
Piety	Pielli
no me eating neeland no fine	Noo maa nyela no zeea
Liga ma has sabigimi.	Liiga maa sabigimi.
Loorima neela loori blou’.	Loorima nyela loori bluuu’.
she has gone.	Di mohimi ka dozim.
alkalmi me ea neela zag fine.	Alkalmi maa nyela zag zeea.
pensile mame neela zag fine.	Pensile maa nyela zag zeea.
o dand mam neela zag’ dozim.	O nanda maa nyela zag’ dozim.
Seventy	Titali
Billa	Bila
