english	dagbani
it's un emergency	it's an emergency
n'he has gone for the police	i'll call the police
goat	jackal
praise	jema
one	jeni
praise	jeŋgbuni
praise	jeŋkuno
friends	jeŋkunbirugu
crying	jergu
child	jia
crying	jirlim
decision	judgement
they are you woul	ka di be wula
common	kamaata
come	kamina
unity	kantamparim
carin help	karin zɔŋ
run	kɔdu
sweden	kɔhi
we have gone	ko-om
we have gone	kom
common	koma
seventy	kɔbiga
kparili	kparili
kneever	kunduŋ
school	kɔɣu
hold	keep
kill	kill
naa	king
norm	kingship
fifty	kitchen
children	kitchens
fifty	knife
dungers	knives
dunia	knee
worm	knee cap
they is the written of 'wise-ond-four-seven	know-and-be-quiet' is the friend of 'know-and-not-say-anything'
kbspoor	kpibga
cloud	kpaŋa
call	ladle
golds	ladles
land	land
trending	laringa
lass me today	leave me alone
factory	lecture
morders	leopard
go	let's go
liga mash something	liiga maa sabigimi
eighty-four	ligiri mi zo n-nye fara
eighty-two	ligiri yi bi chag fara ku chag
heaven	lightweighted
bleep	lion
she has gone!	look, stop it!
charlow!	look out!
eighty-two	loorima nyela loori bluuu’
lord	lord
where your date and mama	love your father and mother
children	luggage
i was crying	m be gbai
m they has gone.	m bori la a sɔŋsim
i have gone.	m bɛri mi
i would have gone.	m mali alaafei, m paɣiya
woman	m paɣya
we have gone.	m puhiya ka paɣi
evidence	malaika
shame	mahim
human	man
call	maani
man	mana
goat	mash
call	mat
unit-format	mats
crowd	mercy
mol	mole
monday	monday
mamma	mother
evidence	mopil'li
everyone	mopila
goat	mosquito
mothers	mosquitos
whirl	m’ba
m'm	m’ma
run	mulfu
nzo	my friend
my name is _____	my name is _____
moya yura	my love
my lord	my lord
i need goat the world	n bori la dɔɣite
i was not yet done the work.	n daa bi tum tumaa maa
i have gone	n di yuya
i’m eating fufu	n dirila sakoro
i have gone	n doo
i would became	n kpɛma
i need to eating you.	n ku tooi yɛli dagbanli [viɛnyɛla]
i need the working	n labi la m baagi
i need the working	n labi la m poochibila
i would have gone.	n mali bua yini
i have gone.	n naaiya pumpogo
i need toone y serious	n ni tooi yɛli silimiinsilii
i would have not yet done the work.	n ni tooi zaŋ a phone ŋɔ n niŋ m bini ŋɔ
i would not yet	n niyu
i don't gone.	n nin moya pam
i would have gone	n nyɛla daŋa
i’m sorry	n tum sarigi
i was dancing	n tumi taali
i’m sorry.	n tumla n soli
i would have gone.	n yɛn bol'la prinsi
i has not yet done ___	n yuli booni _____
i have gone	n yura
i would like	n zo
ninety-four	nni boham dagbani
we have gone	naa
whirl	nam
thirteen	naanzua
naawuni	naawuni
naawuni thirteen suchus	naawuni deemi suhugu
forty-three	naawuni ni bori sheli m-bala
forty-seven	naawuni ni sɔŋ
nawunice-seven	naawuni su jema
ninety-two	naawuni chɛl' alibarika shɛriga ka gal suma kpɛ m-paɣi wuni
near dancing fufu	naawuni dabili ku baŋ nini naɣila o tuma ni
children	nahu
everyone	napaga
dancing	nantariga
unity	nangbanyini
something	near
monday	necessary
abada	never
new_data_batch_1.tsw	new_data_batch_1.tsv
new_data_batch_2.tsv	new_data_batch_2.tsv
encore de vous rencontrer	nice to meet you
trust	niddle
ninety-three	niŋ mi din tu kamaata
ninety-gari	niŋsim n-gari nangbanpibili
human	ninsala
ninety-three	nimmohi m bala
ninety	nimoo
everyone	no
so bathy-three	no one knows
tree	noon
no	noo
no me eating neeland no fine	noo maa nyela no zeea
she has gone	nothing
near, chella	nyema, chela
woman	nyaɣsim
you have gone.	nyaan yibo
run	nyuma
now has gone.	nyumi di zaa
she was dancing today	o daa na warimi
she was dancing	o daa warimi
she you have gone.	o di bohi nyuli
she has gone.	o mali bihi ayi
she has not yet done the work	o nanda maa nyela zag’ dozim
he ninety-six	o ni boham silimiinsili
she has gone	o bohiya
he has gone	o chagya
he chargy fufu	o chagya zugo
he erithery-four	o dirila sakoro
he run yet	o guui yi kpaŋa
call	oil
always	oils
okro	okro
okroles	okros
yet	one
cent	one hundred
twenty	onion
twenty	onions
very	orphan
our lord	our lord
cloud	pagnaa
woman	paɣa
forty-two	paɤ’ zinli
persuade	pakpang
tree	palm tree
palm nuts	palm nuts
paradise	paradise
disgust	pardon
morder	parent
paradise	pasheli
patience	patient
suɣet	patience
fardoon	peace
pen	pen
pensel	pencil
children	pepper
conceiver	persuade
dunianimation	people of the world
anfool	picture
picture	piebbu
ninety	piɛɣu
twenty	pielli
picture	pielar
cloud	pillow
pench	pillows
callless	pineapple
plank	plank
lovely	pleasure
would like	please
seventy-seven	pɔhimʒiɛpiliŋga
friend	pɔli
pleasure	polinga
goat	pot
trecks	pots
fara	poverty
school	praise
louw has gone	praise be to god
prison	prison
beloved	promise
expectation	procrastination
run supplyurity you are eating ca.	puu suɣuli yi ŋmɛlim ka bɔ, di ku ŋmani kambɔŋa
dame	queen
deceiver	queen’s mother
yook	quickly
goldblade	razorblade
read the book for me	read the book for me
read the book quickly	read the book fast
read the book today	read the book quickly
run (plural)	red (plural)
goat run	red buck
religion	religion
refuge	repayment
refugees	rhinoceros
riches is the friend of force	riches is the friend of poverty
treft	roof
trecks	roofs
rund	room
rooms	rooms
runding	run
run and board the teacher	run and call the teacher
worm and coming and see them	run and come and see him
run today	run quickly
running	runing
seventy-seven	saa bu nɔŋa ku suui tom
expectation	sablar
strangers	sabinli
strangers	sagbani
call	sagam
crowd	sala
eighty-nine	salinsaa yɛliya ni o ku ŋubi paaŋa, paaŋa mii ku niŋ o naani
call	salma
crowd	salo
tool	salt
everyone	salnima
something	samafuu
charm	sam
call	samli
stranger	sana
strangers	saamba
sandana	sandana
everyone	sandira
unity	sandaani
seventy	sankpaluŋ
stranger	saniya
call	sanyoo
strangers	sanzali
crying	sarati
stranger	sariga
crying	sarika
praise	sara
cale	scale
school	school
teeku	sea
let's go	see you later
ninety	serious
scale	shade
evidence	shahira
vicing	shame
we have gone	she has gone
how is not yet	she has asked
he has two children	she has two children
she are eating fufu	she is eating fufu
o daa war	she was dancing
o daa war dancing	she was still dancing
she	sheje
shellie	sheli
everyone	shelikam
seventy	shelipolo
shelorigu	shelorigu
children	shim
conversation	shinshaɣ
children	shiri
children	shikuru
child	short
ninety	shupiɛli
sibing	sibiga
thirty-seven	siɣli lana
stranger	sima
six	sister
sit down and eating it (twenty-two)	sit down and eat tz (tuon zaafii)
sit down and can a can	sit down and sing a song
sit down and stop for memory	sit down and stop making noise
sit dog	sit down child
child	small
semon	soap
sabunes	soaps
nothing today	so bi mi
they are kneething to serious	so be kpe ka yari silimiinsilii
children	sochira
crowd	sohala
water	sokam
shells	somewhere
woman	son
help	sɔŋ
help me	sɔŋ ma
sixty-four	sɔŋmi ya ma
seventy	sɔna
conversation	sɔɣiso
seventy	sɔɣisonima
special	special
call	spindle
call	spinster
goat	sponge
run	sponges
morderal	spoon
blooms	spoons
gold	squirrel
stand	stand
goat	stepfather
morder	stepmother
thread	stingy
children!	stop! thief!
something	stranger
something	strangers
crowd	sua
goat	suhi
seventy	suɣulɔ
eighty-four	suhuzohibo
sun	sun
quickly	suŋ
thirty	tahama
desert	tahma
how	tall
thirty-two	tahima zuɣu ka juɣu doli gbuɣinli
ninety-two	tambiɛɣu din tabili kuɣili ni saɣim lɛri
tee	teeku
termit	termite
thank	thank you
that is what god will	that is what god wants
would have gone has gone.	that will never happen
they is blue	the car is blue
he has learned	the have learned
the hen is a run yet	the hen is a red one
woman has entered	the woman has entered
the pensel is run	the pencil is red
the child is black	the shirt is black
nothing let's gave good	therefore let’s spend money wisely
they are eating	they are eating tz
i would have not done the job	they had not yet done the work
he bleven long in this after	they kept long in this afternoon
he's go to america	they will go to america
threadday	thursday
we	ti
we have gone	ti bohimya
we have gone	ti chaŋya
thirty-three	ti dag yig’ labbu na
we have gone.	ti daa yili yila
we have gone.	ti daa yili yila
thirty-five	ti dirila banku
we have gone	ti kan-na
we have gone.	ti mali la bagi pia
we have eating	ti mali nangbanyini
tree	tia
trees	tihi
trending	tindana
we have gone	tintoi
quickly	tiŋbuŋ
land	tingbani
thirty-two	tiŋgban’ nɛli
we have gone	tizodoo
we have gone	tizopaɣa
to	to
today	tobacco
today	today
turkey	tolotolo
paradise	tomato
paradise	tomatoes
seventy	tɔbu
room	towel
well	towels
unless	transgression
travel	traveller
tradiction	treachery
tree	tree
thread	trees
trending	trending
balli	tribe
problem	trouble
trust	trust
treesday	tuesday
palm	turkey
palm	twin
rt	tz
worm	ugly
unity	unity
inverse	uninverse
fashee	unless
falls you have gone	unless you come
anfive	usefulness
monday	vain
trust	vanity
palm	veil
well	venyela
well	venyeliŋga
very	verly
pam	very
yɔmayɔm	very near
shame	vi
yee	voice
run	vulugu
goat	wabu
water	waa
goat	waga
eighty-three	wakati deni m bɔŋɔ
seventy	wall
seventy	walls
tɔbu	war
warthog	warthog
worm	water
near	waters
we	we
we are come	we are coming
we are eating bank	we are eating banku
we are unit	we are united
we can	we can
ti have gone	we have gone
ti have ler	we have learned
we have not done the job	we had not yet done the work
dancing	well
we have study and run	we studied and became tired
what	what
what is your name	what is your name
where is the time	what time is it
a ninety-four is in monday	what you do is in vain
she	where
she is the bathroom	where is the bathroom
she is the tool	where is the toilet
palmight	whirlwind
white (plural)	white (plural)
pattern	woman
dunia	world
dunch	worm
call	wrong
worm	wuntaŋ
seventy	wɔbigu
ninety-two	wɔri yino tii bɛ baŋda,
you have gone	yaa naa
where	ya
goat	yalim
ninety	yɛb’doo
ninety	yɛb’paɣa
where	yɛda
yes	yee
bead	yɛɣu
ninety	yɛri
well	yeltoga
yeah	yes
sohala	yesterday
idan kurty	yidan kuro
children	yidana
you have gone.	yini kana yig yomyom
call	yobli
yesterday	yohim
deceiver	yohinda
children	yohim fa
vanity	yoli
yem	yom
monday	yonahu
seventy	yɔbua
seventy	yɔbaa
near	yɔma
near	yɔmayɔma
you	you
you are eating banku	you are eating banku
you are eating fufu	you are eating fufu
you have gone done the job	you had not yet done the work
you have gone done the job	you have not yet done the work
we have gone	you have gone
we have gone today (plural)	you will come home early (plural)
children	you're welcome
children	yuɣimpɛni
you have gone.	yumi a ba naa ama
forty-two	zabisahirigu
forty-seven	zabisahirisi
forty	zahim
forty-three	zaŋ ma bahi
children!	zani ma! tayiɣa!
seaver	zebra
children	ziinima bia
eighty-seven	ziinim’ ndi sagam
eighty-five!	zinim’ ka chea viri!
eighty-eight	ziinim’ yili yila
worm	zo
seventy	zɔŋa
very	zɔri
run	zuŋɔ
run	zunubi
conversation	zunzuli
run	zuu
worm	zulya
worm	zuliya
eighty-two	ʒiri yirigi pum, ka yɛlimaŋli deei wali
